time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2026/06/04 15:15:44.103917790,1780596944,88078065,20,rosbag2_recorder,Subscribed to topic '/imu/time_ref',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104068944,1780596944,90593020,20,rosbag2_recorder,Subscribed to topic '/filter/positionlla',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104195245,1780596944,92662442,20,rosbag2_recorder,Subscribed to topic '/obu/vel',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104292465,1780596944,94363055,20,rosbag2_recorder,Subscribed to topic '/imu/utctime',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104373601,1780596944,95798377,20,rosbag2_recorder,Subscribed to topic '/obu/fix',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104454890,1780596944,97035851,20,rosbag2_recorder,Subscribed to topic '/obu/heading',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104532606,1780596944,98188097,20,rosbag2_recorder,Subscribed to topic '/pressure',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104615512,1780596944,100479721,20,rosbag2_recorder,Subscribed to topic '/filter/twist',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104696125,1780596944,103434439,20,rosbag2_recorder,Subscribed to topic '/rosout',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2026/06/04 15:15:44.104771515,1780596934,234338725,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181534.20,A,2249.0029,S,04703.6506,W,0.0039,357.549,040626,-21.3,W*66",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.104797027,1780596934,530419220,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.104822441,1780596934,314880428,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,10,42,76,26,112,46,77,40,169,43,78,13,226,37,86,22,143,44*71",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.104846600,1780596934,427229775,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181534.40,2249.0029,S,04703.6506,W,1,27,1.41,635.21,M,-4.164,M,,*76",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.104870310,1780596934,525061764,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181534.50,04,06,2026,00,00*6D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.104895425,1780596934,910528797,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.104922287,1780596934,925196071,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181534.90,2249.0029,S,04703.6506,W,1,27,1.41,635.17,M,-4.164,M,,*7E",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.104949621,1780596935,26080589,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181535.00,A,2249.0029,S,04703.6506,W,0.0097,357.549,040626,-21.3,W*61",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.104974904,1780596935,30466097,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.104999136,1780596935,308971283,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,5,42,309,37,355,19,310,31,048,21,311,21,019,14,312,32,076,19*45",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105024570,1780596935,334236160,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181535.30,2249.0029,S,04703.6505,W,1,26,1.41,635.12,M,-4.164,M,,*72",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.105053546,1780596935,270890725,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105078134,1780596935,350516113,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105101534,1780596935,828490813,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181535.80,5.115,5.338,1.368,,,,*43",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105126047,1780596936,31743636,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181536.00,A,2249.0029,S,04703.6505,W,0.0019,357.549,040626,-21.3,W*67",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.105150336,1780596936,32664087,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,14,15,19,20,22,24,,,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105174498,1780596935,690462523,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105200410,1780596935,970619136,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105225924,1780596936,250555457,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105250718,1780596936,410560461,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105276947,1780596936,326619887,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,2,42,15,34,296,25,19,51,147,28,20,36,333,22,22,22,121,24*40",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105301043,1780596936,333539079,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,11,42,87,54,110,44,88,36,004,46*72",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105325736,1780596936,570467615,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105349409,1780596936,537264901,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181536.50,5.114,5.155,1.367,,,,*4A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105375221,1780596936,834021631,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181536.80,04,06,2026,00,00*62",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105399177,1780596936,934993021,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181536.90,A,2249.0029,S,04703.6505,W,0.0078,357.549,040626,-21.3,W*69",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.105423349,1780596936,930563329,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105447401,1780596937,233439221,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,14,15,19,20,22,24,,,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105471363,1780596937,312552371,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,6,42,316,51,182,25,318,58,307,24,325,32,247,19,331,20,123,22*4F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105495227,1780596937,426085691,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181537.40,2249.0029,S,04703.6505,W,1,26,1.41,635.04,M,-4.164,M,,*70",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.105523389,1780596937,627189568,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181537.60,5.115,5.338,1.376,,,,*40",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105548898,1780596937,736612756,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181537.70,5.115,5.338,1.376,,,,*41",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105572964,1780596937,210378674,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105596972,1780596938,126169873,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,14,15,19,20,22,24,,,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105622625,1780596938,235743421,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181538.20,5.115,5.338,1.379,,,,*44",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105646672,1780596937,530486640,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105670783,1780596937,830504010,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105694777,1780596938,90543897,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105720586,1780596938,370961492,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105744683,1780596938,570458368,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105770829,1780596938,770471876,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.105799653,1780596938,330577995,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,4,42,49,27,073,00,303,18,226,18,305,53,276,19,306,18,012,15*71",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105829858,1780596938,436174368,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181538.40,04,06,2026,00,00*60",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105856329,1780596938,635229216,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181538.60,A,2249.0029,S,04703.6505,W,0.0039,357.549,040626,-21.3,W*6D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.105883614,1780596938,932726258,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181538.90,04,06,2026,00,00*6D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105911305,1780596939,124224907,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181539.10,2249.0029,S,04703.6505,W,1,27,1.41,634.96,M,-4.164,M,,*70",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.105940210,1780596939,311537110,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,2,42,15,34,296,25,19,51,147,28,20,36,333,22,22,22,121,23*47",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105968106,1780596939,341861332,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181539.30,04,06,2026,00,00*66",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.105995495,1780596939,423523399,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181539.40,04,06,2026,00,00*61",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106021870,1780596939,537660600,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,14,15,19,20,22,24,,,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106055532,1780596939,290507492,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106082688,1780596939,838441838,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181539.80,5.115,5.338,1.393,,,,*4B",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106108920,1780596940,26632930,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181540.00,A,2249.0029,S,04703.6505,W,0.0156,357.549,040626,-21.3,W*6C",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.106136738,1780596940,232111243,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181540.20,04,06,2026,00,00*69",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106165714,1780596939,590733477,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106205509,1780596939,690364362,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106233821,1780596939,910662591,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106259960,1780596940,170582319,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106286913,1780596940,450554935,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106313202,1780596940,730435955,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106341308,1780596940,990557386,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106367557,1780596941,170779182,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106394925,1780596940,329564027,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,9,42,430,31,339,38,66,13,335,39,67,27,279,38,68,13,228,41*7E",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106421910,1780596940,432315717,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181540.40,5.115,5.338,1.395,,,,*4F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106448415,1780596940,735647822,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181540.70,A,2249.0029,S,04703.6505,W,0.0175,357.549,040626,-21.3,W*6A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.106476420,1780596941,35158528,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181541.00,2249.0029,S,04703.6505,W,1,26,1.41,634.88,M,-4.164,M,,*70",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.106504612,1780596941,222857523,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181541.20,04,06,2026,00,00*68",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106530778,1780596941,316163018,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,8,42,420,18,314,41,423,10,078,21,427,70,064,38,428,39,129,38*49",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106556518,1780596941,446017199,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,14,15,19,20,22,24,,,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106584791,1780596941,722937935,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181541.70,2249.0029,S,04703.6504,W,1,28,1.41,634.86,M,-4.164,M,,*76",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.106620979,1780596941,410478318,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106654356,1780596942,123279705,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181542.10,2249.0029,S,04703.6504,W,1,28,1.41,634.84,M,-4.164,M,,*71",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.106686189,1780596941,510548537,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106716964,1780596942,332795069,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,9,42,430,31,339,38,66,13,335,39,67,27,279,39,68,13,228,41*7F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.106750004,1780596941,690510251,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106780360,1780596941,950529513,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106810877,1780596942,210636049,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106843152,1780596942,490563022,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106874823,1780596942,790576905,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106905173,1780596943,30400628,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106938707,1780596943,290501644,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.106972200,1780596943,490715220,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.107004586,1780596943,670310823,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.107037345,1780596942,428531418,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181542.40,4.896,5.256,1.402,,,,*4E",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.107074319,1780596942,722290844,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181542.70,2249.0029,S,04703.6504,W,1,27,1.41,634.82,M,-4.164,M,,*7E",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.107106792,1780596942,927542945,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,14,15,19,20,22,24,,,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.107138521,1780596943,232008360,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181543.20,04,06,2026,00,00*6A",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.107172709,1780596943,328401590,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,8,42,420,18,314,41,423,10,078,19,427,70,064,38,428,39,129,38*42",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.107205702,1780596943,432966911,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181543.40,04,06,2026,00,00*6C",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.107238700,1780596943,623036339,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181543.60,04,06,2026,00,00*6E",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.107273567,1780596943,833259066,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181543.80,04,06,2026,00,00*60",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:15:44.107307619,1780596943,923822093,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181543.90,2249.0029,S,04703.6504,W,1,28,1.41,634.78,M,-4.164,M,,*7B",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:15:44.107341583,1780596943,810393530,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
2026/06/04 15:15:44.107372750,1780596943,930343562,30,vilma_interface,Control Mode change blocked!,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,set_control_mode,660
